Building ID,yield drift,yield force,peak drift,peak force,2% drift,2% force,2% area,fitted initial stiffness,fitted hardening stiffness,fitted hardening ratio,hardening ratio
72,0.015138245,0.787206215,0.0187821,0.813718933,0.02,0.8137075559999999,0.009873352,51.9904036,8.152931927000001,0.156816092,0.05
73,0.014222671999999999,0.70467321,0.018910299999999998,0.744092778,0.02,0.7439716670000001,0.009230753000000001,49.53633434,9.41578935,0.19007844399999999,0.05
74,0.01229191,0.7037291859999999,0.014070500000000001,0.757192808,0.02,0.756550707,0.010116459,57.25088069,32.7133049,0.571402649,0.05
75,0.016906194,0.833088608,0.04,0.8667964440000001,0.02,0.8332503109999999,0.009610279000000001,48.99816104,1.95858357,0.039972593,0.039972593
76,0.015921473000000002,0.807845112,0.04,0.865804444,0.02,0.817545,0.009737901,50.43800051,2.9238943139999996,0.057970068,0.05
77,0.015597399999999999,0.733317917,0.04,0.8015224240000001,0.02,0.745189091,0.008970178,46.67411988,3.468256423,0.074307913,0.05
78,0.017736196,0.861932568,0.0322436,0.937710044,0.02,0.8716030220000001,0.009593595,48.50716868,6.729709562,0.138736392,0.05
79,0.016135906000000002,0.8075054770000001,0.0281731,0.869247111,0.02,0.838016667,0.009678944,49.92790497,6.669765739,0.133587935,0.05
80,0.016359818,0.737764393,0.0307692,0.7938611720000001,0.02,0.758328485,0.008743208,44.9410741,5.159435322,0.114804451,0.05
81,0.009455317,0.365397883,0.0194104,0.38195070700000006,0.0200002,0.381943556,0.0057042709999999995,38.40939864,2.185936543,0.056911500999999996,0.05
84,0.00914992,0.35253727,0.0185385,0.37638473100000003,0.02,0.37637991299999995,0.005623520999999999,38.37804075,3.2759556,0.08536015699999999,0.05
87,0.009152703,0.283427775,0.015859,0.30601394,0.02,0.304953623,0.004554732,30.85708819,3.8742571619999997,0.125554853,0.05
90,0.009890479,0.337428314,0.0182179,0.353213987,0.02,0.35292418299999995,0.005206139,33.86978877,2.485166141,0.073374126,0.05
93,0.008839791999999999,0.305943127,0.0142308,0.32999306100000003,0.02,0.329114173,0.004983355,34.48689513,5.200238999,0.150788843,0.05
96,0.008558285,0.268433926,0.0190897,0.29277795100000004,0.02,0.292350059,0.00440725,31.15248483,2.83930774,0.09114225599999999,0.05
99,0.008023818,0.28392255,0.0195514,0.290697585,0.020000099999999996,0.290677295,0.004592702,35.245456700000005,0.74457007,0.021125277999999997,0.021125277999999997
102,0.009442029000000001,0.310579182,0.022102599999999997,0.321156869,0.02,0.320646831,0.004817796,32.6683277,1.05022215,0.032148023,0.032148023
105,0.008927089000000001,0.281365372,0.0176923,0.289838959,0.02,0.289685205,0.004444289000000001,31.40107871,1.270853815,0.040471661,0.040471661
108,0.009765543,0.42122754100000004,0.0242181,0.43442618200000005,0.020000099999999996,0.432713455,0.006435233,42.94615874,1.12233188,0.026133464,0.026133464
111,0.010683918,0.323950975,0.0159231,0.34146027,0.02,0.340016781,0.0048746629999999996,30.29250663,4.022992858,0.132804885,0.05
114,0.010005276,0.358691298,0.019025599999999997,0.383428882,0.02,0.383016804,0.00555114,35.64363452,3.376608375,0.09473243699999999,0.05
117,0.00903713,0.40342441100000004,0.0241283,0.414804967,0.020000099999999996,0.41381934600000003,0.006307105,44.47685368,0.9306711440000001,0.020924842,0.020924842
120,0.009803739,0.316108922,0.015243600000000001,0.343622996,0.02,0.342705204,0.004998605,32.13656454,6.179229174,0.192280328,0.05
123,0.009619239,0.34293580700000004,0.0152179,0.36700364799999996,0.02,0.365847806,0.005399146,35.63177218,4.851528898,0.136157384,0.05
126,0.008132782,0.316511337,0.0207949,0.329080386,0.02,0.328996329,0.005137664,38.72683099,1.223673491,0.031597562999999995,0.031597562999999995
129,0.009414484,0.290205217,0.021012799999999998,0.296499004,0.02,0.29628497,0.004482644,30.72429239,0.689538988,0.022442795,0.022442795
132,0.009548855,0.264781103,0.0197051,0.282978338,0.02,0.282918919,0.004180456,27.29212258,2.394700896,0.0877433,0.05
135,0.009273104,0.300393681,0.018286900000000002,0.314189495,0.0200002,0.314027475,0.004724686,32.16591288,1.9649658230000002,0.061088452,0.05
138,0.010925441999999999,0.356867475,0.0267133,0.365636719,0.02,0.364813624,0.005239204,32.38176376,0.7329185009999999,0.022633681,0.022633681
141,0.009736605,0.251353326,0.0221562,0.255873298,0.02,0.255638519,0.0038341770000000002,25.72070364,0.46382498299999997,0.018033137,0.018033137
144,0.009078312,0.280608276,0.020046599999999998,0.294117908,0.02,0.294110065,0.004443645,30.66849338,1.592734044,0.051933886,0.05
147,0.008937044,0.29380405,0.0182517,0.30195131199999997,0.02,0.301610667,0.004638519,32.54808619,1.112173433,0.034170163999999996,0.034170163999999996
150,0.008898033,0.259652224,0.018053599999999996,0.265697267,0.02,0.265127765,0.004096713,28.88486369,0.855352172,0.02961247,0.02961247
153,0.007653936,0.24894079300000002,0.0159908,0.259781643,0.020000099999999996,0.258242512,0.004131955,32.15796447,1.657420801,0.05153997900000001,0.05
156,0.008774124,0.282700984,0.021386900000000004,0.29116269300000003,0.02,0.291103842,0.004482313,31.91464565,0.860006455,0.026947078,0.026947078
159,0.008653908,0.257000067,0.0180769,0.264542142,0.02,0.264233834,0.004095954000000001,29.42982258,0.9840803909999999,0.033438203,0.033438203
162,0.009991856,0.373953059,0.0232519,0.391953535,0.020000099999999996,0.390528081,0.005700801,37.37105716,1.6877037719999999,0.045160717999999996,0.045160717999999996
165,0.01039856,0.32042573,0.020081599999999998,0.334409969,0.02,0.334403988,0.004829178,30.77683414,1.828312648,0.059405480999999996,0.05
168,0.010218728,0.37439338200000005,0.024918400000000004,0.38890666700000004,0.02,0.38663054700000005,0.0056413159999999995,36.54019518,1.177281725,0.032218813,0.032218813
171,0.008758163000000001,0.35281680600000004,0.022470900000000002,0.366227974,0.020000099999999996,0.36592183,0.005598888000000001,40.18098698,1.282840672,0.03192656,0.03192656
174,0.009847930999999999,0.270233608,0.0168298,0.284296487,0.02,0.283718652,0.004185353,27.33873667,2.566731663,0.09388625699999999,0.05
177,0.009718173,0.300214276,0.0222378,0.308124036,0.02,0.30782304,0.0045947340000000005,30.82457332,0.8085854159999999,0.026231845,0.026231845
180,0.009201477,0.33384446100000004,0.019056,0.357876329,0.02,0.357617585,0.005317221,36.09721867,3.002438704,0.083176456,0.05
183,0.009144821,0.28474865,0.019160800000000002,0.29794855,0.02,0.29760578,0.004488965,31.07213508,1.640123936,0.052784397999999996,0.05
186,0.009459289000000001,0.307758448,0.024615400000000003,0.31628828800000003,0.02,0.315546747,0.0047498029999999995,32.43863305,0.7273400529999999,0.022422032,0.022422032
189,0.010219398000000001,0.37540734600000003,0.0171475,0.405410141,0.020000099999999996,0.39666181799999994,0.005781815,36.62320389,4.877623057,0.133183953,0.05
192,0.010815766999999999,0.373867149,0.0180235,0.40233370700000004,0.02,0.396595639,0.005632156,34.43162791,4.542848007,0.131938229,0.05
195,0.010137884,0.34435667299999995,0.0151923,0.37283389100000003,0.02,0.371986737,0.0053709,33.78518674,6.642834153,0.19661972600000002,0.05
198,0.009557636,0.331802781,0.0191988,0.36176758200000003,0.020000099999999996,0.35972915,0.005254221999999999,34.44042105,3.6929082010000003,0.10722598900000001,0.05
201,0.009451893000000001,0.36594714899999997,0.018429499999999998,0.39707802200000003,0.02,0.397019986,0.005815555,38.45948381,4.111163153,0.10689595199999999,0.05
204,0.009677049,0.290070885,0.018429499999999998,0.317855837,0.02,0.313267739,0.0045935,29.8042479,3.8519694610000004,0.129242297,0.05
207,0.008191025,0.308266158,0.0150107,0.340142609,0.02,0.32634589399999997,0.005168512,37.41632469,5.736336567,0.153311064,0.05
210,0.009095573000000001,0.346724498,0.0202457,0.366622967,0.02,0.36654327299999995,0.005512726,37.66630881,2.269510866,0.060253073,0.05
213,0.009953847,0.313070613,0.021089700000000003,0.326458458,0.02,0.326374535,0.004805167,31.09985657,1.595695686,0.05130878,0.05
216,0.010627998,0.41992783200000006,0.0171049,0.445666424,0.0200002,0.43670181799999996,0.006324852,39.46698182,4.68373121,0.11867467400000001,0.05
219,0.011541985,0.38458189600000003,0.0192308,0.41097237799999997,0.02,0.40872074799999997,0.005611921,33.26820166,3.949470002,0.118716065,0.05
222,0.011173151000000001,0.41910410299999995,0.017243599999999998,0.449814744,0.02,0.442017637,0.0062267369999999996,37.44308224,5.856956401000001,0.156422924,0.05
225,0.009527709,0.389821055,0.0149894,0.415624837,0.020000099999999996,0.401414641,0.006116091,40.83273499,5.592229357000001,0.136954563,0.05
228,0.010894652,0.338402859,0.0173507,0.360202323,0.0200003,0.35242047299999996,0.005054884,31.00357299,3.978314184,0.128317926,0.05
231,0.010541683,0.368505601,0.015555600000000001,0.39237517200000005,0.02,0.379850421,0.005582297,34.88061308,5.718509251,0.163945205,0.05
234,0.008882569,0.38425268799999995,0.015566299999999998,0.428410435,0.02,0.41655111100000003,0.0063325709999999995,42.99355277,7.78805059,0.181144616,0.05
237,0.010223095,0.31430863600000003,0.014925399999999998,0.332734844,0.0200002,0.317950914,0.004788571,30.68850769,4.81157275,0.156787446,0.05
240,0.009983325,0.39215688200000004,0.0161752,0.425983103,0.02,0.425338458,0.006152446,39.08946873,6.724957507999999,0.172040136,0.05
243,0.012115653999999998,0.38618086100000004,0.0233213,0.399056485,0.0200008,0.398564646,0.005458645,31.55505624,1.554488684,0.049262745,0.049262745
246,0.012702214,0.39072597,0.0241026,0.421813499,0.02,0.41617163,0.005465546,30.28413409,3.247801467,0.107244323,0.05
249,0.010366528,0.330985025,0.019,0.36122311100000004,0.02,0.360869192,0.005090808,31.78572647,3.9962851169999998,0.12572577599999998,0.05
252,0.010853382,0.39253098,0.022872299999999998,0.411681046,0.0200005,0.411403739,0.005840989,35.75076127,2.155511408,0.060292742,0.05
255,0.013030948999999998,0.38301617200000004,0.023141,0.39847248700000004,0.02,0.39660990399999996,0.005257689,28.89406269,1.883628551,0.06519085200000001,0.05
258,0.01185534,0.34193391,0.021653799999999997,0.36894904700000003,0.02,0.367070181,0.004952929,28.49187944,3.322148237,0.116599828,0.05
261,0.010148135,0.362696522,0.022846599999999998,0.377877874,0.0200004,0.37755806799999997,0.00553559,35.03095688,1.648901034,0.047069825999999995,0.047069825999999995
264,0.01065099,0.328425707,0.0232692,0.34202728,0.02,0.34177366200000003,0.00492084,30.30252699,1.4467472430000001,0.047743452,0.047743452
267,0.009763121999999999,0.335055216,0.0202051,0.37043658100000004,0.02,0.37018714700000005,0.005304283000000001,33.87316236,4.122787446,0.121712505,0.05
270,0.013319505,0.497968321,0.0187828,0.534899919,0.0200007,0.5346304239999999,0.006823215,37.20612891,8.432552161,0.22664416899999998,0.05
273,0.012882751000000001,0.413372125,0.0173077,0.42763401,0.02,0.42542886799999996,0.005690869,31.9900145,4.267364808,0.133396776,0.05
276,0.011293481000000001,0.339879717,0.019564099999999997,0.372854377,0.02,0.37281941399999996,0.005089149,29.78045742,5.150436475,0.172946856,0.05
279,0.011394635,0.40852309,0.026667000000000003,0.421744575,0.0200004,0.41734248399999996,0.005889884000000001,35.63276543,0.957564638,0.02687315,0.02687315
282,0.012844393,0.38703217700000003,0.0245641,0.404382509,0.02,0.401790325,0.005345745,29.70263621,1.882016844,0.063361946,0.05
