building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,column beam ratio
546,5,40,2,5,50,115,1
547,5,40,2,5,50,115,1.5
548,5,40,2,5,50,115,2
549,5,40,2,5,80,20,1
550,5,40,2,5,80,20,1.5
551,5,40,2,5,80,20,2
552,5,40,2,5,80,67.5,1
553,5,40,2,5,80,67.5,1.5
554,5,40,2,5,80,67.5,2
555,5,40,2,5,80,115,1
556,5,40,2,5,80,115,1.5
557,5,40,2,5,80,115,2
558,5,40,2,5,110,20,1
559,5,40,2,5,110,20,1.5
560,5,40,2,5,110,20,2
561,5,40,2,5,110,67.5,1
562,5,40,2,5,110,67.5,1.5
563,5,40,2,5,110,67.5,2
564,5,40,2,5,110,115,1
565,5,40,2,5,110,115,1.5
566,5,40,2,5,110,115,2
567,9,20,1,3,50,20,1
568,9,20,1,3,50,20,1.5
569,9,20,1,3,50,20,2
570,9,20,1,3,50,67.5,1
571,9,20,1,3,50,67.5,1.5
572,9,20,1,3,50,67.5,2
573,9,20,1,3,50,115,1
574,9,20,1,3,50,115,1.5
575,9,20,1,3,50,115,2
576,9,20,1,3,80,20,1
577,9,20,1,3,80,20,1.5
578,9,20,1,3,80,20,2
579,9,20,1,3,80,67.5,1
580,9,20,1,3,80,67.5,1.5
581,9,20,1,3,80,67.5,2
582,9,20,1,3,80,115,1
583,9,20,1,3,80,115,1.5
584,9,20,1,3,80,115,2
585,9,20,1,3,110,20,1
586,9,20,1,3,110,20,1.5
587,9,20,1,3,110,20,2
588,9,20,1,3,110,67.5,1
589,9,20,1,3,110,67.5,1.5
590,9,20,1,3,110,67.5,2
591,9,20,1,3,110,115,1
592,9,20,1,3,110,115,1.5
593,9,20,1,3,110,115,2
594,9,20,1,5,50,20,1
595,9,20,1,5,50,20,1.5
596,9,20,1,5,50,20,2
597,9,20,1,5,50,67.5,1
598,9,20,1,5,50,67.5,1.5
599,9,20,1,5,50,67.5,2
600,9,20,1,5,50,115,1
601,9,20,1,5,50,115,1.5
602,9,20,1,5,50,115,2
603,9,20,1,5,80,20,1
604,9,20,1,5,80,20,1.5
605,9,20,1,5,80,20,2
606,9,20,1,5,80,67.5,1
607,9,20,1,5,80,67.5,1.5
608,9,20,1,5,80,67.5,2
609,9,20,1,5,80,115,1
610,9,20,1,5,80,115,1.5
611,9,20,1,5,80,115,2
612,9,20,1,5,110,20,1
613,9,20,1,5,110,20,1.5
614,9,20,1,5,110,20,2
615,9,20,1,5,110,67.5,1
616,9,20,1,5,110,67.5,1.5
617,9,20,1,5,110,67.5,2
618,9,20,1,5,110,115,1
619,9,20,1,5,110,115,1.5
620,9,20,1,5,110,115,2
621,9,20,1.5,3,50,20,1
622,9,20,1.5,3,50,20,1.5
623,9,20,1.5,3,50,20,2
624,9,20,1.5,3,50,67.5,1
625,9,20,1.5,3,50,67.5,1.5
