Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39,GM40,GM41,GM42,GM43,GM44
0.34,0.44361,0.68293,0.93348,1.065,1.2658,0.84412,0.54251,0.97422,0.79624,0.79683,0.99935,1.1628,1.1403,0.84388,0.60387,0.52589,0.63447,0.78306,0.27723,0.33666,0.4547,0.40298,1.2088,1.5663,2.0706,1.1567,0.96493,0.62149,0.9686,1.1922,0.53248,0.32531,0.79055,1.0293,0.75811,1.0401,0.23203,0.32664,1.1208,0.75539,1.0868,0.61529,1.1295,1.3137
0.35,0.38273,0.63985,0.95394,1.0111,1.1796,0.88949,0.5746,0.88557,0.73375,0.7171,0.957,1.1817,1.0529,0.94915,0.57045,0.55729,0.66495,0.85271,0.25881,0.35435,0.45238,0.40596,1.1427,1.6183,2.071,1.2341,0.95742,0.51218,0.95334,1.1194,0.47354,0.31545,0.91226,1.0482,0.67909,1.026,0.24131,0.37168,1.1699,0.78952,1.1657,0.57974,1.1418,1.3976
0.36,0.38808,0.59434,0.95678,0.94579,1.0925,0.91381,0.56325,0.83815,0.67523,0.63744,0.78856,1.1722,1.0961,1.0067,0.53764,0.56403,0.68708,0.89165,0.27489,0.37103,0.4536,0.40183,1.1255,1.5267,2.1446,1.2565,0.94503,0.47913,0.94093,1.0069,0.44597,0.37346,1.0185,0.99974,0.61077,1.1419,0.22118,0.38589,1.2412,0.85023,1.2339,0.58274,1.1441,1.4016
0.37,0.4047,0.57983,0.94441,0.8816,1.0197,0.91637,0.51325,0.86128,0.70752,0.59555,0.79896,1.1133,1.1904,1.036,0.50825,0.59874,0.71348,0.90085,0.28293,0.36387,0.45156,0.44674,1.0768,1.3879,2.1624,1.2466,0.93179,0.48252,0.90199,0.86803,0.45138,0.4323,1.082,0.9492,0.57199,1.3149,0.22903,0.38305,1.2495,0.89553,1.2531,0.55673,1.1362,1.3428
0.38,0.42373,0.60549,0.9224,0.82184,0.98304,0.90095,0.44781,0.88056,0.78248,0.63093,0.79251,1.0245,1.2866,1.0743,0.55204,0.60634,0.73791,0.89105,0.27802,0.37039,0.45278,0.47857,0.98769,1.3182,2.1578,1.2486,0.91857,0.48007,0.88556,0.7911,0.47577,0.47362,1.0948,0.88266,0.53874,1.4872,0.24239,0.37515,1.236,0.9318,1.2045,0.5373,1.1173,1.2018
0.39,0.48684,0.66113,0.89561,0.80436,0.9825,0.88185,0.4216,0.86253,0.76556,0.67003,0.7739,0.96568,1.4379,1.1486,0.57332,0.58455,0.74598,0.86387,0.26594,0.35906,0.47222,0.47805,0.9167,1.1936,2.0853,1.2512,0.92257,0.45831,0.85921,0.79983,0.50112,0.48761,1.1196,0.75463,0.5529,1.626,0.23203,0.35803,1.2555,0.96412,1.0935,0.59467,1.0896,1.1966
0.4,0.54719,0.7092,0.87245,0.82545,1.016,0.86992,0.41098,0.83038,0.83364,0.69454,0.75008,0.89504,1.6634,1.2592,0.57211,0.61495,0.72741,0.81326,0.2598,0.33595,0.44531,0.4659,0.89641,1.1102,1.9589,1.2245,0.96228,0.42417,0.83171,0.7807,0.50365,0.47961,1.2743,0.80066,0.57987,1.7092,0.20395,0.33613,1.2941,0.97499,0.94114,0.63025,1.0541,1.2247
0.41,0.56905,0.79947,0.84709,0.86359,1.0538,0.85961,0.38683,0.83239,0.81854,0.70236,0.72607,0.79425,1.9202,1.4018,0.56237,0.62977,0.68685,0.73819,0.24659,0.31067,0.4489,0.44161,0.88835,1.1255,1.8464,1.1587,0.984,0.38945,0.78951,0.72611,0.47744,0.4605,1.3954,0.76292,0.58141,1.7756,0.18311,0.30445,1.3054,0.96316,0.90058,0.67817,1.0091,1.2446
0.42,0.57385,0.90348,0.81615,0.89492,1.0822,0.84675,0.36537,0.93793,0.83199,0.70321,0.74927,0.71989,2.1279,1.5137,0.54433,0.62047,0.62919,0.64306,0.26067,0.2855,0.44314,0.39747,0.83385,1.2443,1.7572,1.1058,0.99129,0.36213,0.73851,0.67634,0.45881,0.45484,1.4771,0.78009,0.54608,1.8104,0.18799,0.29921,1.3004,0.93722,0.84367,0.7467,0.95341,1.2608
0.43,0.5604,0.99741,0.78014,0.89857,1.0909,0.83696,0.35433,1.0857,0.84759,0.75359,0.78507,0.73274,2.226,1.5685,0.52422,0.58449,0.55956,0.56267,0.29493,0.27064,0.42875,0.36839,0.74188,1.4089,1.641,1.0949,0.98515,0.39324,0.70234,0.66676,0.48183,0.48581,1.5611,0.83429,0.51862,1.795,0.1815,0.30144,1.3123,0.89393,0.78629,0.77656,0.89271,1.2776
